title,genre,developer,critic_score,total_sales,release_date
Suikoden III,Role-Playing,KCET,8.6,0.98,2002-10-24
NHL 07,Sports,EA Montreal,7.6,0.98,2006-09-12
Fire Emblem: The Blazing Blade,Strategy,Intelligent Systems,8.8,0.97,2003-11-03
Dynasty Warriors: Strikeforce,Action,Omega Force,6.833333333333333,0.97,2009-04-28
Dirge of Cerberus: Final Fantasy VII,Shooter,Square Enix,5.8,0.97,2006-08-15
Guitar Hero: Van Halen,Misc,Neversoft Entertainment,5.575,0.9600000000000001,2009-12-22
Sea of Thieves,Action-Adventure,Rare Ltd.,6.9,0.96,2018-03-20
Gangs of London,Adventure,SCEE London Studio,5.0,0.96,2006-10-03
Dark Cloud 2,Role-Playing,Level 5,8.6,0.96,2003-02-17
Crash of the Titans,Action,SuperVillain Studios,6.449999999999999,0.96,2007-10-16
Rayman 2: The Great Escape,Platform,Ubisoft,8.933333333333332,0.96,1999-10-31
PilotWings Resort,Simulation,Monster Games,6.9,0.96,2011-03-27
Harvest Moon 3D: A New Beginning,Simulation,Marvelous,8.2,0.95,2012-11-06
Dark Sector,Shooter,Digital Extremes,7.15,0.95,2008-03-25
White Knight Chronicles: International Edition,Role-Playing,Level 5,6.3,0.95,2010-02-02
Wild ARMs,Role-Playing,Media.Vision,8.9,0.95,1997-04-30
LEGO Harry Potter: Years 5-7,Action,Traveller's Tales,9.0,0.95,2011-11-11
MLB 10: The Show,Sports,SCEA San Diego Studios,7.8,0.94,2010-03-02
IL-2 Sturmovik: Birds of Prey,Simulation,Gaijin Entertainment,6.466666666666666,0.94,2009-09-08
Castlevania: Lament of Innocence,Action,Konami Computer Entertainment Tokyo,8.1,0.94,2003-10-21
SaGa Frontier 2,Role-Playing,SquareSoft,7.4,0.94,2000-01-31
F1 2015,Racing,Codemasters Birmingham,5.800000000000001,0.93,2015-07-21
Monster Hunter: World,Action,Capcom,9.4,0.93,2018-01-26
Kingdom Hearts Re:coded,Role-Playing,High Horse Entertainment,6.8,0.93,2011-01-11
Colin McRae Rally 2.0,Racing,Codemasters,8.4,0.93,2000-12-05
Phoenix Wright: Ace Attorney,Adventure,Capcom,8.1,0.93,2005-10-12
BlazBlue: Calamity Trigger,Fighting,Arc System Works,8.5,0.9299999999999999,2009-06-30
Sengoku Basara: Samurai Heroes,Action,Capcom,6.05,0.9299999999999999,2010-10-12
Harvest Moon: The Tale of Two Towns,Simulation,Marvelous Interactive,6.3,0.9299999999999999,2011-09-20
Tobal No.1,Fighting,DreamFactory,7.7,0.92,1996-09-30
Blue Dragon,Role-Playing,Mistwalker Corporation / Artoon,7.7,0.92,2007-08-28
Killzone: Mercenary,Misc,Guerrilla Games,7.4,0.92,2013-09-10
BUZZ! Quiz World,Misc,Magenta Software,7.8,0.92,2009-11-10
EA Sports Grand Slam Tennis,Sports,EA Vancouver,7.9,0.92,2009-06-08
007: The World is not Enough,Shooter,Black Ops Entertainment,6.4,0.92,2000-11-06
SpongeBob SquarePants: The Yellow Avenger,Action,Tantalus Interactive,5.7,0.92,2006-03-06
NieR,Role-Playing,Cavia Inc.,6.5,0.9199999999999999,2010-04-27
James Bond 007: Nightfire,Shooter,Eurocom Entertainment Software,7.65,0.91,2002-11-18
Sonic Riders: Zero Gravity,Racing,Sonic Team,5.8,0.91,2008-01-08
Buzz! Master Quiz,Misc,Relentless Software,7.0,0.9,2008-09-23
Killzone: Liberation,Shooter,Guerrilla Games,7.8,0.9,2006-10-31
F.E.A.R. 3,Shooter,Day 1 Studios,7.8,0.9,2011-06-21
Resistance: Retribution,Shooter,SCEA Bend Studio,8.0,0.9,2009-03-17
SOCOM 4: U.S. Navy SEALs,Shooter,Zipper Interactive,7.0,0.9,2011-04-19
3Xtreme,Action,Unknown,2.9,0.9,1999-03-31
The Biggest Loser: Ultimate Workout,Sports,Blitz Games,8.0,0.9,2010-11-02
Final Fantasy X / X-2 HD Remaster,Role-Playing,Square Enix,9.3,0.9,2015-05-12
Marvel vs. Capcom 2,Fighting,Capcom,8.6,0.9,2002-11-19
Lost Odyssey,Role-Playing,Mistwalker Corporation / Feelplus Inc.,7.5,0.9,2008-02-12
Metal Gear Solid HD Collection,Action,Bluepoint Games,9.149999999999999,0.9,2011-11-08
Dissidia 012: Duodecim Final Fantasy,Fighting,Square Enix,8.3,0.89,2011-03-22
Fossil Fighters,Role-Playing,RED Entertainment,6.9,0.89,2009-08-10
Ni no Kuni II: Revenant Kingdom,Role-Playing,Level 5,8.7,0.89,2018-03-23
The Tomb Raider Trilogy,Action,Crystal Dynamics,8.5,0.89,2011-03-22
Fire Emblem: The Sacred Stones,Strategy,Intelligent Systems,8.4,0.89,2005-05-23
Samba De Amigo,Misc,Gearbox Software,6.7,0.89,2008-09-23
WWE SmackDown vs. Raw 2011,Fighting,JAKKS Pacific,7.1,0.88,2010-10-26
Buzz! Quiz TV,Misc,Relentless Software,7.9,0.88,2008-09-23
Sonic Chronicles: The Dark Brotherhood,Role-Playing,BioWare Corp.,7.3,0.88,2008-09-30
Terminator Salvation,Shooter,GRIN,5.1,0.88,2009-05-19
F1 2013,Racing,Codemasters Birmingham,7.800000000000001,0.8799999999999999,2013-10-08
Metal Gear Ac!d,Strategy,Konami,7.4,0.87,2005-03-22
Crash: Mind Over Mutant,Platform,Radical Entertainment,6.15,0.87,2008-10-07
Super Bomberman R,Puzzle,HexaDrive,6.3,0.87,2017-03-03
Endless Ocean: Blue World,Simulation,Arika,7.6,0.87,2010-02-22
Paper Mario: Color Splash,Action-Adventure,Intelligent Systems,7.4,0.87,2016-10-07
Kingdom Hearts Re: Chain of Memories,Role-Playing,Jupiter Corporation,7.2,0.87,2008-12-02
Vagrant Story,Role-Playing,SquareSoft,9.3,0.87,2000-05-15
Mario Party: Star Rush,Party,"Nd Cube Co., Ltd.",6.2,0.87,2016-11-04
Dragon Age Origins: Awakening,Role-Playing,BioWare Corp.,8.3,0.87,2010-03-16
Prince of Persia: The Forgotten Sands,Action,Ubisoft Montreal,7.5,0.86,2010-05-18
Lemmings,Puzzle,Team17 Software,7.3,0.86,2006-05-23
Wii Fit U,Misc,Nintendo,7.2,0.86,2014-01-10
Red Faction: Armageddon,Shooter,Volition Inc.,7.05,0.8500000000000001,2011-06-07
The House of the Dead: Overkill,Shooter,Headstrong Games,7.9,0.85,2009-02-10
The Legendary Starfy,Platform,TOSE Software,7.1,0.85,2009-06-08
Sonic Lost World,Platform,Dimps Corporation,5.6,0.85,2013-10-29
Ninja Gaiden Sigma 2,Action,Team Ninja,8.5,0.85,2009-09-29
Test Drive Unlimited,Racing,Melbourne House,7.833333333333333,0.85,2007-03-21
Naughty Bear,Action,Artificial Mind and Movement,4.45,0.85,2010-06-29
Ty the Tasmanian Tiger 2: Bush Rescue,Platform,Krome Studios,7.2,0.8400000000000001,2004-10-12
Silent Hill: Homecoming,Action,Double Helix Games,7.5,0.8400000000000001,2008-09-30
Metroid: Zero Mission,Adventure,Nintendo R&D1,8.9,0.84,2004-02-09
Xenoblade Chronicles X,Role-Playing,Monolith Soft,8.1,0.84,2015-12-04
Rogue Galaxy,Role-Playing,Level 5,8.3,0.84,2007-01-30
ZombiU,Action,Ubisoft Montpellier,6.9,0.84,2012-11-18
Virtua Tennis 4,Sports,Sega-AM2,6.033333333333334,0.8300000000000001,2011-05-10
Casper,Adventure,Funcom,4.9,0.83,1996-09-17
Twisted Metal (2012),Action,Eat Sleep Play,7.9,0.83,2012-02-14
Stranglehold,Shooter,Midway Games,8.0,0.83,2007-09-05
Time Crisis 4,Shooter,Bandai Namco Games,6.1,0.83,2007-11-20
Yu-Gi-Oh! Dark Duel Stories,Misc,KCEJ,6.2,0.83,2002-03-18
The Incredible Hulk,Platform,Pocket Studios,5.8,0.8200000000000001,2003-05-27
Fist of the North Star: Ken's Rage,Action,Tecmo Koei Games,5.1,0.8200000000000001,2010-11-02
Viking: Battle for Asgard,Action,The Creative Assembly,6.4,0.8200000000000001,2008-03-25
Call of Duty: Modern Warfare Remastered,Shooter,Infinity Ward,8.05,0.82,2017-06-27
The Crew 2,Racing,Ivory Tower,6.5,0.82,2018-06-29
Patapon,Platform,Pyramid/JAPAN Studio,8.7,0.82,2008-02-26
Professor Layton vs Ace Attorney,Adventure,Level 5,8.1,0.82,2014-08-29
Green Day: Rock Band,Misc,Harmonix Music Systems,7.8,0.82,2010-06-08
The Walking Dead: A Telltale Games Series,Adventure,Telltale Games,9.7,0.82,2012-11-20
Tony Hawk's Underground 2 Remix,Sports,Shaba Games,8.5,0.82,2005-03-15
MediEvil: Resurrection,Adventure,SCEE,6.5,0.82,2005-09-13
Army Men: Sarge's Heroes,Shooter,3DO,4.2,0.81,1999-09-30
Rayman Arena,Racing,Ubisoft,5.75,0.81,2002-09-24
F1 2017,Racing,Codemasters,8.5,0.81,2017-08-25
Golden Sun: Dark Dawn,Role-Playing,Camelot Software Planning,8.0,0.81,2010-11-29
The Legend of Zelda: Four Swords Adventures,Adventure,Nintendo EAD,8.4,0.81,2004-06-07
Tales of Destiny II,Role-Playing,Telenet Japan / Wolfteam,7.5,0.81,2001-09-10
Professor Layton and the Azran Legacy,Puzzle,Level 5,8.0,0.81,2014-02-28
Mario & Sonic at the Sochi 2014 Olympic Winter Games,Sports,Sega Sports R&D,5.9,0.8,2013-11-15
The Matrix: Path of Neo,Action,Shiny Entertainment,6.7,0.8,2005-11-07
Star Wars Rogue Squadron III: Rebel Strike,Simulation,Factor 5,8.3,0.8,2003-10-15
NASCAR 2011: The Game,Racing,Eutechnyx,5.433333333333334,0.8,2011-03-29
Final Fantasy Anthology,Role-Playing,SquareSoft,8.6,0.8,1999-09-30
Harvest Moon: A Wonderful Life,Role-Playing,Marvelous Interactive,8.2,0.79,2004-03-16
Invizimals,Strategy,Novarama,6.6,0.79,2010-10-12
Ridge Racer,Racing,Namco,9.0,0.79,1995-09-09
Harry Potter: Quidditch World Cup,Sports,Electronic Arts,6.050000000000001,0.79,2003-10-28
METRO 2033,Shooter,4a-games,7.45,0.78,2010-03-16
Def Jam Icon,Action,Unknown,6.449999999999999,0.78,2007-03-06
Too Human,Role-Playing,Silicon Knights,6.5,0.78,2008-08-19
Naruto Shippuden: Ultimate Ninja Storm 2,Fighting,CyberConnect2,7.6,0.78,2010-10-19
NBA Live 10,Sports,EA Canada,6.9,0.78,2009-10-06
MadWorld,Action,PlatinumGames,8.1,0.78,2009-03-10
Vin Diesel: Wheelman,Racing,Tigon,6.7,0.77,2009-03-24
Donkey Kong Country 3,Platform,Rare Ltd.,7.5,0.77,2005-11-07
Pokémon Dash,Racing,Ambrella,5.3,0.77,2005-03-14
Lips,Misc,iNiS,7.1,0.77,2008-11-18
Twisted Metal: Head On,Action,Incognito Inc.,7.5,0.77,2005-03-24
Ghost Squad,Shooter,Polygon Magic,7.0,0.77,2007-11-20
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,Racing,Sumo Digital,7.7,0.77,2010-02-23
Andretti Racing,Racing,Stormfront Studios,7.3,0.77,1996-11-30
Maximo: Ghosts to Glory,Platform,Capcom,8.7,0.77,2002-02-11
Backyard Wrestling: Don't Try This at Home,Fighting,Paradox Development,6.0,0.77,2003-10-07
Conker's Bad Fur Day,Platform,Rare Ltd.,9.2,0.77,2001-03-04
Dungeon Siege III,Role-Playing,Obsidian Entertainment,7.25,0.76,2011-06-21
Eternal Sonata,Role-Playing,Tri-Crescendo,8.100000000000001,0.76,2008-10-21
Final Fantasy Legend III,Role-Playing,SquareSoft,7.0,0.76,1993-09-29
Banjo-Kazooie: Nuts & Bolts,Platform,Rare Ltd.,8.0,0.76,2008-11-12
Just Dance 2018,Music,Ubisoft Paris,8.0,0.76,2017-10-24
PokéPark 2: Wonders Beyond,Action-Adventure,Creatures Inc.,6.5,0.76,2012-02-27
Harry Potter and the Half-Blood Prince,Action,Bright Light Productions,6.0,0.76,2009-06-30
Zone of the Enders,Simulation,Konami Computer Entertainment Japan,7.5,0.75,2001-03-26
Genji: Days of the Blade,Action,Game Republic,5.0,0.75,2006-11-14
FIFA 19,Sports,EA Sports,5.9,0.75,2018-09-28
Project CARS 2,Racing,Slightly Mad Studios,8.85,0.75,2017-09-22
Turok,Shooter,Propaganda Games,6.6,0.75,2008-02-05
Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,Avalanche Software,8.0,0.75,2014-09-23
Coded Arms,Shooter,Konami,6.1,0.75,2005-07-06
Virtua Tennis 2009,Sports,Sumo Digital,6.949999999999999,0.75,2009-06-09
Spectrobes,Role-Playing,Jupiter Corporation,6.2,0.75,2007-03-06
Capcom vs. SNK 2: Mark of the Millennium 2001,Fighting,Capcom,7.9,0.75,2001-11-06
How to Train Your Dragon,Action,Etranges Libellules,5.266666666666667,0.74,2010-03-23
Sonic Forces,Platform,Sonic Team,5.4,0.74,2017-11-07
DC Universe Online,MMO,WBIE,6.75,0.74,2011-01-11
Tony Hawk's American Wasteland,Sports,Neversoft Entertainment,8.3,0.74,2005-10-18
Mafia,Action,Illusion Softworks,7.85,0.74,2004-01-28
Secret Agent Clank,Platform,Sanzaru Games,7.0,0.74,2009-05-26
Mortal Kombat: Unchained,Fighting,JGI Entertainment,7.0,0.74,2006-11-15
Katamari Damacy,Puzzle,Namco,8.5,0.73,2004-09-21
Star Ocean: The Last Hope International,Role-Playing,tri-Ace,8.1,0.73,2010-02-09
BlazBlue: Continuum Shift,Fighting,Arc System Works,8.649999999999999,0.73,2010-07-27
DiRT 4,Racing,Codemasters,9.0,0.73,2017-06-06
Kirby: Canvas Curse,Platform,HAL Laboratory,8.9,0.72,2005-06-13
Monster Hunter Generations Ultimate,Action,Capcom,7.7,0.72,2018-08-28
A Way Out,Action,Hazelight,7.8,0.72,2018-03-23
James Bond 007: Agent Under Fire,Shooter,EA Redwood Shores,7.5,0.72,2002-03-13
Final Fantasy Crystal Chronicles: Echoes of Time,Role-Playing,Square Enix,7.300000000000001,0.72,2009-03-24
Mx vs. ATV Reflex,Racing,Rainbow Studios,7.4,0.72,2009-12-01
Dynasty Warriors: Gundam 3,Action,Omega Force,6.5,0.72,2011-06-28
EA Sports MMA,Fighting,EA Tiburon,7.65,0.72,2010-10-19
Monster Hunter 3 Ultimate,Role-Playing,Capcom,8.7,0.71,2013-03-19
Mini Ninjas,Action,IO Interactive,7.5,0.71,2009-09-08
Yu-Gi-Oh! The Falsebound Kingdom,Strategy,Konami,4.4,0.71,2003-11-04
Blast Corps,Action,Rare Ltd.,9.1,0.71,1997-02-28
NBA Live 06,Sports,EA Canada,7.3,0.71,2005-10-04
Conker: Live And Reloaded,Action-Adventure,Rare Ltd.,8.1,0.71,2005-06-21
Doom 3: Resurrection of Evil,Shooter,Nerve Software,8.2,0.71,2005-10-05
Spyro: Enter the Dragonfly,Platform,Equinoxe,5.0,0.71,2002-11-08
Astro Bot Rescue Mission,Platform,SIE Japan Studio,8.5,0.71,2018-10-02
Godzilla: Destroy All Monsters Melee,Fighting,"Pipeworks Software, Inc.",7.5,0.71,2002-10-08
Virtua Fighter 4: Evolution,Fighting,Sega-AM2,8.9,0.71,2003-08-13
The LEGO Movie Videogame,Action-Adventure,TT Fusion,6.0,0.71,2014-02-07
F1 2018,Racing,Codemasters Birmingham,8.7,0.7000000000000001,2018-08-24
TimeSplitters 2,Shooter,Free Radical Design,9.1,0.7,2002-10-09
Advance Wars,Strategy,Intelligent Systems,9.4,0.7,2001-09-09
Ape Escape: On the Loose,Platform,SIMS,6.6,0.7,2005-03-22
F-14 Tomcat,Action,Virtucraft,6.9,0.7,2001-09-02
RIFT,Role-Playing,Trion Worlds,8.3,0.7,2011-03-01
Monster Hunter Stories,Role-Playing,Marvelous,8.1,0.7,2017-09-08
Ace Attorney Investigations: Miles Edgeworth,Adventure,Capcom,7.7,0.7,2010-02-16
Classic NES Series: Zelda II: The Adventure of Link,Adventure,Nintendo EAD,6.6,0.7,2004-10-25
Jade Empire,Role-Playing,BioWare Corp.,9.0,0.7,2005-04-12
Marvel Nemesis: Rise of the Imperfects,Fighting,Nihilistic Software,6.4,0.7,2005-09-20
Chocobo's Dungeon 2,Role-Playing,SquareSoft,6.2,0.7,1999-11-30
The Sims: Medieval,Simulation,The Sims Studio,7.2,0.7,2011-03-22
MotionSports,Sports,Ubisoft Milan,4.1,0.69,2010-11-04
Dragon Ball Z: Budokai,Fighting,Pyramid,6.8,0.69,2003-10-28
Kirby's Dream Collection: Special Edition,Platform,HAL Laboratory,8.0,0.69,2012-09-16
The Sly Collection,Platform,Sanzaru Games,8.7,0.69,2010-11-09
Mario Party: The Top 100,Party,"Nd Cube Co., Ltd.",5.0,0.69,2017-11-10
Fortnite,Shooter,Epic Games,8.5,0.69,2018-11-16
Metal Gear Solid: Portable Ops Plus,Action,Kojima Productions,6.9,0.69,2007-11-13
MX vs. ATV Unleashed: On the Edge,Racing,Rainbow Studios,7.3,0.69,2006-02-27
Mortal Kombat: Shaolin Monks,Action,Midway Studios Los Angeles,8.0,0.69,2005-09-16
Peter Jackson's King Kong: The Official Game of the Movie,Action,Ubisoft Montpellier,7.333333333333333,0.69,2005-11-21
Halo 2 Multiplayer Map Pack,Shooter,Bungie Studios,8.6,0.69,2005-07-05
Samurai Warriors 2,Action,Omega Force,5.5,0.69,2006-09-19
Hot Shots Golf: Open Tee 2,Sports,Clap Hanz,8.0,0.68,2008-06-03
.hack//Mutation Part 2,Role-Playing,CyberConnect2,7.5,0.68,2003-05-07
Suikoden II,Role-Playing,Konami,8.5,0.68,1999-09-29
Bushido Blade 2,Fighting,Light Weight,7.5,0.68,1998-02-28
Star Wars: Masters of Teras Kasi,Action,LucasArts,6.8,0.68,1997-10-31
Baldur's Gate: Dark Alliance II,Role-Playing,Black Isle Studios,7.8,0.68,2004-01-20
Call of Juarez: The Cartel,Shooter,Techland,5.033333333333334,0.6799999999999999,2011-07-19
Dark Void,Action,Airtight Games,6.099999999999999,0.6799999999999999,2010-01-19
Dawn of Discovery,Simulation,Related Designs,8.066666666666668,0.67,2009-06-25
Disney Infinity,Action-Adventure,Avalanche Software,7.6,0.67,2013-08-18
Wild ARMs 2,Role-Playing,Media.Vision,6.5,0.67,2000-04-30
Contra: Legacy of War,Shooter,Appaloosa Interactive,6.5,0.67,1996-11-30
Operation Flashpoint: Red River,Shooter,Codemasters,6.933333333333334,0.67,2011-06-07
Napoleon: Total War,Strategy,The Creative Assembly,8.5,0.67,2010-02-23
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Adventure,Amaze Entertainment,6.8,0.67,2005-11-14
Diablo III: Eternal Collection,Action,Blizzard Entertainment,9.0,0.67,2018-11-02
100 Classic Books,Misc,Genius Sonority Inc.,4.0,0.67,2010-06-14
Thor: God of Thunder,Action,Liquid Entertainment,5.26,0.67,2011-05-03
Grandia,Role-Playing,Game Arts,8.55,0.6699999999999999,1997-12-18
Suikoden IV,Role-Playing,Konami Computer Entertainment Tokyo,6.3,0.66,2005-01-11
Legend of Legaia,Role-Playing,Contrail,8.1,0.66,1999-03-17
Child of Eden,Shooter,Q Entertainment,8.0,0.66,2011-06-14
The Sims: Bustin' Out,Simulation,Maxis,7.9,0.66,2003-12-15
Final Fantasy Crystal Chronicles: Ring of Fates,Role-Playing,Square Enix,7.7,0.66,2008-03-11
Book of Spells,Misc,SCEE London Studio,6.5,0.66,2012-11-13
Darkstone,Role-Playing,Delphine Software International,7.1,0.66,2001-01-28
Disney's Kim Possible 2: Drakken's Demise,Platform,Artificial Mind and Movement,8.3,0.66,2004-09-15
Wanted: Weapons of Fate,Shooter,GRIN,6.2,0.6599999999999999,2009-03-24
"Ed, Edd n Eddy: The Mis-Edventures",Platform,A2M,4.699999999999999,0.6599999999999999,2005-11-03
Dynasty Warriors Gundam,Action,Omega Force,6.2,0.6599999999999999,2007-08-28
Advance Wars 2: Black Hole Rising,Strategy,Intelligent Systems,8.8,0.65,2003-06-24
MX vs. ATV Untamed,Racing,Rainbow Studios,5.6,0.65,2007-12-17
F-Zero GX,Racing,Amusement Vision,8.4,0.65,2003-08-26
de Blob 2,Platform,Blue Tongue,7.725,0.65,2011-02-22
Champions: Return to Arms,Role-Playing,Snowblind Studios,7.7,0.65,2005-02-07
Centipede,Shooter,Leaping Lizard Software Inc.,5.9,0.65,1999-04-30
Scene It? Box Office Smash,Misc,Krome Studios / Screenlife Games,7.6,0.65,2008-10-28
Golden Axe: Beast Rider,Action,Secret Level,4.25,0.65,2008-10-14
Star Ocean: First Departure,Role-Playing,TOSE Software,7.5,0.65,2008-10-21
NHL 2K10,Sports,Visual Concepts,7.099999999999999,0.6499999999999999,2009-09-15
Def Jam Rapstar,Misc,4mm Games / Terminal Reality,7.4,0.6499999999999999,2010-10-05
New Play Control! Pikmin,Strategy,Nintendo EAD,7.7,0.64,2009-03-09
2002 FIFA World Cup,Sports,EA Canada,7.65,0.64,2002-04-22
Castlevania,Platform,KCEK,7.6,0.64,1999-01-26
Real Heroes: Firefighter,Action,Epicenter Studios,7.4,0.64,2009-08-04
Lost Planet: Extreme Condition,Shooter,Capcom,6.3,0.64,2008-02-26
SAW,Action,Zombie Studios,6.1,0.64,2009-10-06
Crash Bandicoot Purple: Ripto's Rampage,Platform,Vicarious Visions,6.7,0.64,2004-06-03
Konami Collector's Series: Arcade Advanced,Misc,KCEA,8.0,0.64,2002-03-21
Rayman 3D,Platform,Ubisoft,6.3,0.64,2011-03-22
X-Men: Destiny,Action,Silicon Knights,3.825,0.64,2011-09-27
The Incredibles: Rise of the Underminer,Action,Heavy Iron Studios,6.5,0.63,2005-11-01
Shin Megami Tensei: Persona 3 FES,Role-Playing,Atlus,8.7,0.63,2008-04-22
Dogz,Simulation,MTO,4.1,0.63,2005-11-17
White Knight Chronicles II,Role-Playing,Level 5,5.4,0.63,2011-09-13
The Sims 3: Generations,Simulation,The Sims Studio,6.5,0.63,2011-05-31
Ape Escape 2,Platform,SCE Japan Studio,8.0,0.63,2003-06-30
Namco Museum,Misc,Mass Media,5.3,0.63,2002-10-09
Resident Evil 2,Action,Angel Studios,7.45,0.6200000000000001,1999-10-31
Beetle Adventure Racing!,Racing,"Paradigm Entertainment, Electronic Arts",9.2,0.62,1999-03-24
Bee Movie Game,Action,Vicarious Visions,6.4,0.62,2007-10-30
Donkey Kong Barrel Blast,Racing,Paon Corporation,4.8,0.62,2007-10-08
Viewtiful Joe,Action,Clover Studio,9.4,0.62,2003-10-07
Wild ARMs 3,Role-Playing,Media.Vision,7.6,0.62,2002-10-15
World of Final Fantasy,Role-Playing,Square Enix,6.7,0.62,2016-10-25
Phoenix Wright: Ace Attorney - Trials and Tribulations,Adventure,Capcom,7.9,0.62,2007-10-23
Start the Party!,Misc,Supermassive Games Ltd.,6.1,0.62,2010-09-07
Dragon Ball Z: Buu's Fury,Action,Webfoot Technologies,5.9,0.61,2004-09-14
Singularity,Shooter,Raven Software,7.666666666666667,0.61,2010-06-29
Final Fantasy IV Advance,Role-Playing,Square Enix,8.6,0.61,2005-12-12
Game & Watch Gallery 4,Misc,Nintendo,6.4,0.61,2002-10-28
Half-Life 2,Shooter,Valve Software,8.9,0.61,2005-11-15
Advance Wars: Days of Ruin,Strategy,Intelligent Systems,8.4,0.61,2008-01-21
Madden NFL 2002,Sports,EA Sports,8.6,0.61,2001-11-17
New Play Control! Pikmin 2,Strategy,Nintendo EAD,8.7,0.61,2012-06-10
Avatar: The Last Airbender,Adventure,AWE Games,5.75,0.61,2006-10-10
Metroid Prime: Trilogy,Shooter,Retro Studios,9.0,0.61,2009-08-24
Rugby World Cup 2011,Sports,HB Studios Multimedia,4.65,0.6000000000000001,2011-08-26
Split/Second,Racing,Black Rock Studio,8.4,0.6,2010-05-18
Spider-Man: Shattered Dimensions,Action,Beenox Studios,7.85,0.6,2010-09-07
Wave Race: Blue Storm,Racing,Nintendo Software Technology Corporation,8.4,0.6,2001-11-17
Suikoden,Role-Playing,Konami,8.2,0.6,1996-12-01
Phantasy Star Online Episode I & II,Role-Playing,Sonic Team,8.2,0.6,2002-10-29
Fighters Uncaged,Fighting,AMA Studios,3.2,0.6,2010-11-04
Ben 10: Alien Force,Action,Monkey Bar Games,5.2,0.6,2008-10-28
PGR3 - Project Gotham Racing 3,Racing,Bizarre Creations,8.8,0.6,2005-11-16
Half-Life,Shooter,Gearbox Software,8.4,0.6,2001-11-11
Open Season,Platform,Ubisoft Montreal,6.444444444444445,0.5900000000000001,2006-09-19
Dead Rising 2: Off the Record,Action,Blue Castle Games,7.35,0.5900000000000001,2011-10-11
The Fight: Lights Out,Fighting,ColdWood Interactive,4.7,0.59,2010-11-09
Naruto: The Broken Bond,Action,Ubisoft Montreal,7.6,0.59,2008-11-18
Final Fantasy Explorers,Role-Playing,Square Enix,7.3,0.59,2016-01-26
Dead or Alive Xtreme Beach Volleyball,Sports,Team Ninja,6.6,0.59,2003-01-22
Harvest Moon: Friends of Mineral Town,Simulation,TOSE Software,7.6,0.59,2003-11-17
Asphalt: Urban GT,Racing,Gameloft,5.0,0.59,2004-11-17
Skylanders: SuperChargers,Action-Adventure,Vicarious Visions,8.0,0.59,2015-09-20
James Bond 007: Everything or Nothing,Shooter,EA Redwood Shores,7.25,0.59,2004-02-17
WarioWare D.I.Y.,Misc,Intelligent Systems,8.3,0.59,2010-03-28
MLB 11: The Show,Sports,SCEA San Diego Studios,8.9,0.59,2011-03-08
Dynasty Warriors 6 Empires,Action,Omega Force,6.35,0.5800000000000001,2009-06-23
Teen Titans,Action,A2M,6.449999999999999,0.5800000000000001,2006-05-24
Batman: The Brave and the Bold the Videogame,Action,WayForward Technologies,7.5,0.5800000000000001,2010-09-07
Kirby and the Rainbow Curse,Platform,HAL Laboratory,8.2,0.58,2015-02-20
Championship Motocross featuring Ricky Carmichael,Racing,Funcom,7.5,0.58,1999-09-15
Final Fantasy: The 4 Heroes of Light,Role-Playing,Matrix Software,7.2,0.58,2010-10-05
Disney Magic World 2,Simulation,High Horse Entertainment,7.5,0.58,2016-10-14
International Superstar Soccer '98,Sports,Konami Computer Entertainment Osaka,9.1,0.58,1998-09-15
Doom 3 BFG Edition,Misc,Unknown,6.8,0.58,2012-10-16
Skate it,Sports,EA Montreal,6.6,0.58,2008-11-19
LEGO Worlds,Misc,Traveller's Tales,5.0,0.58,2017-09-05
Disgaea 4: A Promise Unforgotten,Role-Playing,Nippon Ichi Software,7.9,0.58,2011-09-06
Tenchu 2: Birth of the Stealth Assassins,Action,Acquire,8.5,0.58,2000-08-07
Contra: Shattered Soldier,Shooter,Konami Computer Entertainment Tokyo,7.3,0.58,2002-10-22
Diablo,Role-Playing,Climax Group,8.3,0.58,1998-01-01
Blacksite: Area 51,Shooter,Midway Studios Austin,6.3,0.57,2007-11-12
Beyond The Beyond,Role-Playing,Camelot Software Planning,4.8,0.57,1996-08-31
Harvest Moon: Sunshine Islands,Simulation,Marvelous Interactive,9.0,0.57,2009-11-10
The Sims 3: World Adventures,Simulation,EA Redwood Shores,8.2,0.57,2009-11-16
Resident Evil Outbreak File #2,Action,Capcom Production Studio 1,5.8,0.57,2005-04-26
Trivial Pursuit,Misc,Adrenalin Interactive,7.3,0.57,2009-03-10
Fuel,Racing,Asobo Studio,6.533333333333334,0.57,2009-06-02
StarCraft II: Legacy of the Void,Strategy,Blizzard Entertainment,8.8,0.57,2015-11-10
Ultra Street Fighter II: The Final Challengers,Fighting,Capcom,7.0,0.57,2017-05-26
ATV Offroad Fury: Blazin' Trails,Racing,Climax Group,5.9,0.57,2005-04-19
Starlink: Battle for Atlas,Action-Adventure,Ubisoft Toronto,7.5,0.57,2018-10-16
Barbie Groovy Games,Misc,Digital Illusions (DICE),3.0,0.56,2002-09-04
True Crime: Streets of LA,Action,EXAKT Entertainment,8.1,0.56,2003-11-03
